17223;1003;"2";-1;0;0;"2016-08-03 17:53:31";"";"2016-08-03 00:53:31";"";0;"";"";"";"";"";"SHUTDOWN_EVENT"
17224;1003;"2";-1;0;0;"2016-08-03 17:54:44";"";"2016-08-03 00:54:44";"";0;"";"";"";"";"";"SHUTDOWN_EVENT"
17225;1003;"2";-1;0;0;"2016-08-03 17:55:02";"";"2016-08-03 00:55:02";"";0;"";"";"";"";"";"SHUTDOWN_EVENT"
17226;1003;"2";-1;0;0;"2016-08-03 18:14:55";"";"2016-08-03 01:14:55";"";0;"";"";"";"";"";"SHUTDOWN_EVENT"
17539;1003;"2";-1;0;0;"2016-08-03 19:09:01";"";"2016-08-03 02:09:01";"";0;"";"";"";"";"";"SHUTDOWN_EVENT"
21267;1003;"2";2;85;52;"2016-08-11 21:00:00";"2016-08-04 00:30:00";"2016-08-11 06:00:00";"2016-08-11 04:45:04";60;"";"";"2B Coleman Avenue, Carlingford, Australia";"https://maps.google.com/maps?um=1&ie=UTF-8&sa=N&tab=wl&q=-33.78293810,151.04755990";"";"INSPECTED"
21268;1003;"2";2;83;52;"2016-08-11 20:00:00";"2016-08-04 00:30:00";"2016-08-11 08:00:00";"2016-08-11 04:51:36";60;"";"";"21Z Farnell Avenue, Carlingford, Australia";"https://maps.google.com/maps?um=1&ie=UTF-8&sa=N&tab=wl&q=-33.77236700,151.03714830";"";"INSPECTED"
21269;1003;"2";2;80;52;"2016-08-11 21:00:00";"2016-08-04 00:30:00";"2016-08-11 06:00:00";"2016-08-11 04:56:56";60;"";"";"385C North Rocks Road, Carlingford, Australia";"https://maps.google.com/maps?um=1&ie=UTF-8&sa=N&tab=wl&q=-33.76999580,151.03745770";"";"INSPECTED"
21270;1003;"2";2;81;52;"2016-08-11 21:00:00";"2016-08-04 00:30:00";"2016-08-11 06:00:00";"2016-08-11 05:07:50";60;"";"";"31 Lawndale Avenue, North Rocks, Australia";"https://maps.google.com/maps?um=1&ie=UTF-8&sa=N&tab=wl&q=-33.76873560,151.02386750";"";"INSPECTED"
21271;1003;"2";2;114;51;"2016-08-11 21:00:00";"2016-01-25 00:30:00";"2016-08-11 06:00:00";"2016-08-11 05:19:28";60;"";"";"Commercial Road, Rouse Hill, Australia";"https://maps.google.com/maps?um=1&ie=UTF-8&sa=N&tab=wl&q=-33.68409000,150.92903860";"";"INSPECTED"
